reg_num,full_name,inn,kpp,tofk
01483000284,Финансовое управление Администрации городского округа Жуковский,5040092173,504001001,4845
01483000287,Администрация сельского поселения Биорковское,5022065642,502201001,4870
01483000286,Администрация городского поселения Яхрома Дмитровского муниципального района Московской области,5007050916,500701001,4806
01483000281,Администрация сельского поселения Серединское,5079009699,507901001,4860
01483000280,Администрация сельского поселения Михайлово-Ярцевское,5074032038,507401001,4840
01483000283,Администрация сельского поселения Ермолинское Талдомского муниципального района Московской области,5078019045,507801001,4809
01483000282,Администрация городского поселения Северный Талдомского муниципального района Московской области,5078015139,507801001,4809
03483000925,"Муниципальное общеобразовательное Учреждение ""Раменская средняя общеобразовательная школа""",5011018947,501101001,4810
03483004500,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа №18""",5005028908,500501001,4804
03483002434,Муниципальное общеобразовательное учреждение Щаповская средняя общеобразовательная школа,5074019319,507401001,4840
03483002435,Муниципальное общеобразовательное учреждение Вороновская средняя общеобразовательная школа,5074019220,507401001,4840
01483000289,Администрация сельского поселения Радужное,5022065650,502201001,4870
01483000288,Администрация города Зарайска,5014009796,501401001,4813
03483002430,Муниципальное общеобразовательное учреждение Колычевская средняя общеобразовательная школа,5028017050,502801001,4831
03483002431,"Муниципальное общеобразовательное учреждение ""Семеновская средняя общеобразовательная школа""",5028017042,502801001,4831
03483003558,Муниципальное дошкольное образовательное учреждение детский сад №16 комбинированного вида,5034084216,503401001,4837
03483003110,"Муниципальное дошкольное образовательное учреждение детский сад № 27 ""Чароит""",5024088067,502401001,4824
03482000567,"Государственное бюджетное учреждение социального обслуживания Московской области ""Раменский центр социальной реабилитации инвалидов ""Забота""",5040053664,504001001,4845
03483003228,"Муниципальное образовательное учреждение ""Центр образования""",5024105749,502401001,4824
03482000601,Жуковское управление социальной защиты населения Министерства социальной защиты населения Московской области,7714097791,504701001,4845
03482000189,Озерское управление социальной защиты населения Министерства социальной защиты населения Московской области,7714097791,504701001,4853
03482000188,"Государственное бюджетное учреждение социального обслуживания Московской области ""Пушкинский центр социального обслуживания граждан пожилого возраста и инвалидов""",5038045578,503801001,4843
03482000184,"Государственное бюджетное учреждение социального обслуживания Московской области ""Бронницкий социально-реабилитационный центр для несовершеннолетних ""Алый парус""",5002065179,500201001,4845
03482000187,"Государственное учреждение здравоохранения Московской области ""Наро-Фоминская станция переливания крови""",5030034920,503001001,4833
03483002439,Муниципальное дошкольное образовательное учреждение детский сад комбинированного вида №46,5003021784,500301001,4825
03482000181,"Государственное бюджетное учреждение социального обслуживания Московской области ""Комплексный реабилитационный центр ""Кентавр""",5027092880,502701001,4830
03482000183,"Государственное учреждение Московской области ""Центр легкой атлетики Московской области""",5013051876,501301001,4845
03482000182,Государственное учреждение Московской области Клинский центр занятости населения,5020030059,502001001,4820
03483002436,Муниципальное общеобразовательное учреждение Кленовская средняя общеобразовательная школа,5074019340,507401001,4840
03481000719,"Филиал № 3 федерального государственного учреждения ""Главный военный клинический госпиталь имени академика Н.Н. Бурденко Министерства обороны Российской Федерации""",7701114305,501243001,4801
03481000718,Федеральное государственное учреждение здравоохранения Медико-санитарная часть № 9 Федерального медико-биологического агентства,5010003352,501001001,4809
03481000713,Войсковая часть 35690,7702232171,500102001,4801
03481000712,Войсковая часть 44239,7702232171,501232002,4801
03481000716,"Государственное учреждение ""Центр инженерно-технического обеспечения внутренних войск Министерства внутренних дел Российской Федерации"" (войсковая часть 6686)",5001017983,500101001,4801
03481000715,"Федеральное государственное учреждение комбинат ""Лесной"" Федерального агентства по государственным резервам (с объектом № 5027)",5040036108,504001001,4845
03483001536,Муниципальное общеобразовательное учреждение Видновская средняя общеобразовательная школа №7,5003021551,500301001,4825
03483001821,Муниципальное общеобразовательное учреждение Видновская средняя общеобразовательная школа №4,5003021417,500301001,4825
03483001534,"Муниципальное учреждение ""Молодежный культурно-досуговый центр""",5041023609,504101001,4846
03483001823,муниципальное общеобразовательное учреждение средняя общеобразовательная школа №2 городского округа Рошаля Московской области,5055001228,505501001,4859
03483001532,"Муниципальное образовательное учреждение для детей дошкольного и младшего школьного возраста начальная школа-детский сад № 40 компенсирующего вида ""Солнышко""",5022028471,502201001,4870
03483001825,"Муниципальное учреждение культуры городского округа Рошаль ""Дом культуры им. А.А. Косякова""",5055002623,505501001,4859
03483001826,"Муниципальное дошкольное образовательное учреждение - детский сад №21 ""Росинка"" комбинированного вида",5026008331,502601001,4830
03483001531,Муниципальное общеобразовательное учреждение открытая (сменная) общеобразовательная средняя школа № 1,5022028841,502201001,4870
03483001828,"Муниципальное дошкольное образовательное учреждение - детский сад №5 ""Веснянка"" общеразвивающего вида",5026008243,502601001,4830
03483002432,Муниципальное общеобразовательное учреждение-Средняя общеобразовательная школа поселка Спутник,5028017035,502801001,4831
03483004660,"Муниципальное дошкольное образовательное учреждение детский сад общеразвивающего вида №28 ""Родничок""",5005029789,500501001,4804
03483001538,Отдел культуры Администрации городского округа Химки Московской области,5047016397,504701001,4857
03483001539,"Муниципальное образовательное учреждение дополнительного образования детей ""Детская школа искусств пос. Развилка""",5003041413,500301001,4825
03483002322,"муниципальное учреждение здравоохранения ""ДЕДЕНЕВСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА""",5007003627,500701001,4806
03483002323,"муниципальное учреждение здравоохранения ""НЕКРАСОВСКАЯ ПОЛИКЛИНИКА""",5007027191,500701001,4806
01483000359,Муниципальное учреждение Администрация муниципального образования сельское поселение Реммаш Сергиево-Посадского муниципального района Московской области,5042083520,504201001,4849
01483000358,Муниципальное учреждение Администрация городского поселения Хотьково,5042084227,504201001,4849
01483000352,Администрация сельского поселения Зубовское,5020057131,502001001,4820
03483002328,"Муниципальное учреждение культуры ""Централизованная библиотечная система г.Королева""",5018085861,501801001,4817
01483000350,Администрация сельского поселения Барвихинское Одинцовского муниципального района Московской области,5032139678,503201001,4835
01483000357,Администрация городского поселения Новоивановское Одинцовского муниципального района Московской области,5032139692,503201001,4835
01483000356,"Администрация муниципального образования ""Городское поселение Лотошино""",5071004593,507101001,4860
01483000354,"Учреждение ""Комитет по управлению имуществом администрации Орехово-Зуевского муниципального района""",5073060064,503401001,4837
03482000457,"Государственное бюджетное учреждение социального обслуживания Московской области ""Орехово-Зуевский городской центр социального обслуживания граждан пожилого возраста и инвалидов""",5034083460,503401001,4837
03483002025,Муниципальное дошкольное образовательное учреждение - Детский сад комбинированного вида № 61 муниципального образования Люберецкий муниципальный район Московской области,5027093523,502701001,4830
03482000454,"Государственное учреждение здравоохранения ""Орехово-Зуевский специализированный дом ребенка для детей с органическим поражением ЦНС с нарушением психики""",5034082152,503401001,4837
03482000453,"Государственное образовательное учреждение среднего профессионального образования Московской области ""Куровской политехнический техникум""",5034028476,503401001,4837
03482000565,"Государственное бюджетное стационарное учреждение социального обслуживания Московской области ""Филимонковский детский дом-интернат для умственно отсталых детей-сирот и детей, оставшихся без попечения родителей""",5003014770,500301001,4825
03482000451,Волоколамское управление социальной защиты населения Министерства социальной защиты населения Московской области,7714097791,500431001,4803
03483002024,"Муниципальное дошкольное образовательное учреждение - детский сад комбинированного вида № 48 ""Росток"" муниципального образования Люберецкий муниципальный район Московской области",5027093428,502701001,4830
03482000564,"государственное бюджетное учреждение социального обслуживания Московской области ""Ленинский комплексный центр социального обслуживания населения ""Вера""",5003056508,500301001,4825
03483002027,Муниципальное образовательное учреждение дополнительного образования детей станция юных техников муниципального образования Люберецкий муниципальный район Московской области,5027003791,502701001,4830
03483002112,"Муниципальное образовательное учреждение дополнительного образования детей специализированная детско-юношеская спортивная школа олимпийского резерва ""Олимп""",5003021583,500301001,4825
03482000458,Государственное образовательное учреждение начального профессионального образования Профессиональное училище №136 Московской области,5077000980,507701001,4850
