customer,supplier,amount,date,region
03482000680,5000000017,41927.52,2011-01-01,0
03481000383,7719285622,216530.0,2011-01-01,0
03482000413,7720506604,309941.28,2011-02-01,0
03482000799,5047067105,1930419.16,2011-01-01,0
01483000271,5011025214,110919.96,2010-12-01,0
03482000137,5042110452,17746.3,2011-01-01,0
03483001730,5003009032,2389367.19,2011-01-01,0
03483003742,5000000970,14160.0,2011-01-01,0
03481000271,7716638414,126157.7,2011-08-01,0
03482000041,5029088166,149538.0,2010-12-01,0
03481000164,5031070494,375000.0,2011-06-01,0
03483003183,5042116990,221219.47,2011-03-01,0
01483000195,5024064732,1000000.0,2011-02-01,0
03483000604,5035035444,60892.0,2011-05-01,0
01483000406,7714629157,339000.0,2011-02-01,0
01482000008,5021012542,10127.16,2011-01-01,0
03481000840,7725203410,478940.0,2011-07-01,0
03732001366,7719756617,494202.61,2011-08-01,0
01483000319,5000000560,1800000.0,2011-08-01,0
03483002956,7736520080,423500.0,2011-01-01,0
03483000104,5031054929,451000.0,2010-12-01,0
01482000017,5050028120,2295000.0,2011-08-01,0
03481000149,7718134758,337351.0,2011-05-01,0
01482000010,7721664057,3000000.0,2011-01-01,0
03482000435,504906108861,18100.0,2011-07-01,0
03481000257,5044066520,331200.0,2011-05-01,0
03481000164,7724709468,32752.0,2011-03-01,0
03481000815,5013011337,21556912.23,2011-01-01,0
03483001021,5027130197,277846.8,2010-12-01,0
03483000759,5043028899,2999999.0,2011-05-01,0
03481000042,5047111315,499200.0,2011-03-01,0
03481000006,7722678655,19200.0,2010-12-01,0
03483001036,7713053544,491643.0,2011-05-01,0
03481000224,5013048256,603580.0,2011-06-01,0
01483000169,5070004625,12000.0,2010-12-01,0
03483000074,5030004724,366450.0,2011-05-01,0
03483000073,7709219099,10000.0,2011-04-01,0
03483001960,5047115951,6251865.83,2011-07-01,0
03483002192,7743603058,169306.25,2011-01-01,0
03481000148,6809001217,350000.0,2011-01-01,0
03482000031,3808086050,190000.0,2011-07-01,0
03483003275,5034027835,7811.17,2011-07-01,0
03482000002,5022086201,734792.4,2011-06-01,0
03732001679,7729402977,340500.0,2011-06-01,0
03483002946,7714592980,396000.0,2011-08-01,0
03483003012,5031073304,98847.0,2011-01-01,0
03483003109,5038070207,301684.98,2011-05-01,0
03481000060,4401106354,2094510.0,2011-07-01,0
03482000369,5040055622,1785702.72,2011-01-01,0
03483001442,5019017381,255200.0,2011-06-01,0
03483000308,7727726101,10670658.6,2011-06-01,0
01483000091,3334002563,224000.0,2011-09-01,0
03483004480,7736520080,894240.0,2005-07-01,0
03483000775,7721657469,199000.0,2011-02-01,0
03482000117,503404515565,1700.0,2011-02-01,0
03481000459,7725203410,498130.0,2011-06-01,0
02481000016,7733085590,49981.26,2011-07-01,0
03483000869,5022066269,151812.87,2010-12-01,0
01483000437,7707049388,8000.0,2011-01-01,0
03482000348,5027117196,13200.0,2011-01-01,0
01483000222,5024033100,158000.0,2010-11-01,0
01483000120,1650004607,957935.0,2011-06-01,0
03483003606,7720669655,42000.0,2011-07-01,0
03483000030,7715844990,627120.0,2011-04-01,0
03482000627,5020051845,30527.4,2010-12-01,0
01483000239,5078013082,198206.47,2011-09-01,0
01483000222,7816404515,85000.0,2011-02-01,0
03482000282,5018027387,395500.0,2011-06-01,0
03483003700,5040105560,333832.68,2011-03-01,0
03483001065,5034022668,733726.6,2011-01-01,0
03483004156,5036028633,96365.19,2011-06-01,0
03483002691,5049018576,108856.32,2011-04-01,0
03481000787,7733743472,58259.82,2011-08-01,0
03483000900,5040097830,629089.89,2011-09-01,0
03482000703,7736520080,79560.0,2010-12-01,0
03482000683,7736520080,83600.0,2010-12-01,0
03482000689,7736520080,148471.93,2010-12-01,0
01483000138,5045019755,495036.0,2010-12-01,0
03483002488,5019015730,219938.77,2011-06-01,0
03483003560,5047108739,264300.77,2011-08-01,0
03481000718,7719022542,6620000.0,2011-01-01,0
03481000403,7733699819,70559.0,2011-08-01,0
01483000270,7727084849,290000.0,2011-03-01,0
03483000839,5018100260,445600.3,2011-06-01,0
03483003029,5031009108,150700.0,2011-01-01,0
03481000840,7722728521,492000.0,2011-06-01,0
03483001821,7736538312,288465.16,2011-01-01,0
01482000008,5035025990,19038.54,2011-01-01,0
03482000117,503403535738,1768.0,2011-02-01,0
01483000043,7703625506,449000.0,2011-06-01,0
03482000645,5003041276,1227190.0,2011-03-01,0
03732001978,7715585262,214999.4,2011-07-01,0
01482000008,5031068537,800.02,2011-01-01,0
03483000145,5003079209,262000.0,2011-06-01,0
01482000008,5034065171,507.12,2011-01-01,0
03483001237,7720506604,115401.0,2011-07-01,0
03481000424,5020053994,72584035.0,2011-03-01,0
03483003168,5034022322,499990.0,2011-08-01,0
03482000642,7736520080,7000.0,2011-01-01,0
03483002670,501900044119,178573.14,2011-06-01,0
03482000256,5022093230,119952.0,2011-02-01,0
03732000352,5053011140,319000.0,2011-02-01,0
03482000022,5074114509,8922.58,2011-04-01,0
01483000258,7721601843,1925634.48,2010-12-01,0
03481000394,7712095534,56000.0,2011-08-01,0
01482000019,5024037961,193747.6,2011-01-01,0
03732000181,6909007004,1001442.0,2011-07-01,0
03483001197,5022030985,280544.67,2011-01-01,0
03481000566,5050052645,1896.63,2011-05-01,0
03481000169,7714134436,171750.0,2011-05-01,0
03483001933,7707049388,9906.1,2010-12-01,0
03483000046,5034022668,190508.57,2011-07-01,0
03483004437,5005041232,48459.24,2005-07-01,0
01483000450,5024101293,249900.0,2011-04-01,0
01481000001,501106725299,379580.0,2011-06-01,0
03483002205,5017067757,1062075.0,2010-12-01,0
03483003153,5021012341,4986.45,2011-04-01,0
03481000015,5045027330,46800.0,2011-04-01,0
03483000573,5003092224,379477.0,2011-08-01,0
03483000049,7717647274,126687.66,2011-02-01,0
03481000170,5024024225,363000.0,2010-12-01,0
03732002031,5000001317,1402000.61,2011-01-01,0
01483000423,501700307593,35800.0,2011-03-01,0
03732001978,7716202018,134750.0,2011-05-01,0
01483000027,5030070773,499997.55,2011-09-01,0
03483002250,7706665970,403355.65,2011-09-01,0
01483000282,7707083893,0.0,2011-01-01,0
03481000476,6230067138,71748.0,2011-07-01,0
03483004467,5005027647,5497124.16,2011-01-01,0
03483002207,5001029509,236.0,2011-02-01,0
03481000394,7716578028,467000.0,2011-08-01,0
01483000302,5032196080,306914.0,2011-08-01,0
03483001304,5022030985,896073.1,2011-01-01,0
03483000744,5022030921,541163.0,2011-08-01,0
03483002667,5018141474,978019.68,2011-01-01,0
01483000012,5027033059,43125.65,2011-06-01,0
03482000577,710300564557,491620.0,2011-02-01,0
03482000290,5020034286,295640.0,2011-08-01,0
03483003431,7736520080,145440.0,2011-01-01,0
03482000654,5036035180,4900.0,2011-04-01,0
03732001573,7708665502,5033607.51,2011-06-01,0
03481000394,7710560063,30788.0,2011-07-01,0
03482000142,7719555477,68337.0,2011-02-01,0
03483003275,5034027835,12165.44,2011-04-01,0
03483002648,5075032471,228079.44,2010-01-01,0
03483000311,0503402668,955433.11,2011-01-01,0
01483000222,5024064147,8311800.74,2010-12-01,0
03483002207,5031042867,6110.0,2011-05-01,0
03481000600,7726645548,628547.7,2011-02-01,0
03481000424,5038012477,292930824.5,2011-04-01,0
03482000016,5034050048,183478.0,2011-07-01,0
03482000117,503440195705,1428.0,2011-02-01,0
03481000467,7729385320,433400.0,2011-04-01,0
03483002823,5011002440,149776.13,2011-06-01,0
03483003112,5038070207,652636.59,2011-06-01,0
03483003070,5052001847,401000.0,2011-07-01,0
03483004355,5053069735,25956.0,2011-05-01,0
01483000039,7816491613,430000.0,2011-04-01,0
03483003951,5034022322,455000.0,2011-04-01,0
03483001533,7715790381,102650.0,2011-07-01,0
03483002192,7702668232,302250.0,2011-03-01,0
03481000720,5027156100,295950.0,2011-07-01,0
03482000098,7730586126,114651.0,2011-07-01,0
03481000352,5019015539,30000.0,2011-03-01,0
03483002950,7718716386,186300.0,2011-06-01,0
03483004101,5021018696,517684.54,2011-02-01,0
03482000353,501101271394,392000.0,2011-03-01,0
03483002094,5031018470,6000.0,2011-01-01,0
01483000195,5024009114,9600000.0,2011-01-01,0
03482000669,5003041276,351826.5,2011-01-01,0
03483004251,5072724210,720396.54,2011-01-01,0
03483001760,5047081156,3055.96,2011-01-01,0
03483001721,5021012542,450898.76,2011-07-01,0
03483002512,5031070141,265866.0,2011-01-01,0
03480000001,5045047030,150000.0,2011-08-01,0
03483003904,5017067757,443373.53,2010-12-01,0
03481000487,7731509702,495000.0,2011-06-01,0
03481000376,7707049388,236651.6,2011-01-01,0
01483000171,5030015500,129932.16,2011-01-01,0
01483000209,7708523025,449394.0,2010-12-01,0
03483000823,5031008506,2836.0,2011-01-01,0
03481000091,5022013330,4389550.0,2011-07-01,0
03483001051,5000000970,20000.0,2011-01-01,0
03482000436,7721062052,41800.0,2011-07-01,0
03483004568,7709349845,394400.0,2010-12-01,0
03483002096,7710316925,13289000.0,2011-06-01,0
03483003090,5074001544,256492.9,2011-03-01,0
03483001457,7708055105,113978.0,2011-07-01,0
01483000091,5031087635,12199023.0,2011-07-01,0
03481000317,5015003500,13564200.0,2010-10-01,0
03482000093,7707049388,15500.0,2011-01-01,0
03483002303,7728256466,228990.0,2010-12-01,0
01483000221,7736520080,3563500.0,2011-01-01,0
03481000466,5024048000,51017.0,2011-08-01,0
03481000413,5042105452,398700.0,2011-06-01,0
03481000088,500201209954,462620.0,2011-06-01,0
03481000043,7703646231,78535.0,2011-09-01,0
03481000113,5011022950,698847.0,2011-08-01,0
03481000915,7707049388,99000.0,2011-01-01,0
01483000021,7736520080,57915.69,2011-05-01,0
03483002746,5023009400,1736225.0,2011-03-01,0
01483000512,7736520080,671040.0,2011-01-01,0
03483003504,5034028109,391995.32,2011-01-01,0
03482000254,772020475063,1150000.0,2011-08-01,0
03482000114,772600559542,5580.04,2011-04-01,0
03483000032,504900635847,498790.0,2011-03-01,0
03482000535,5018053838,299000.0,2011-03-01,0
03483003006,7736520080,81000.0,2011-01-01,0
03483000657,5043019936,90747.6,2011-08-01,0
03483003521,7702586692,381000.0,2011-06-01,0
03482000114,502500337948,11787.1,2011-09-01,0
03483003278,5027089703,4725.0,2011-02-01,0
03482000031,5038033269,396779.0,2011-04-01,0
